player_name,player_id,team_name
Davion Mitchell,1630558,Toronto Raptors
Jamison Battle,1642419,Toronto Raptors
Eugene Omoruyi,1630647,Toronto Raptors
Elijah Harkless,1641989,Utah Jazz
Jordan Clarkson,203903,Utah Jazz
Taylor Hendricks,1641707,Utah Jazz
Collin Sexton,1629012,Utah Jazz
Keyonte George,1641718,Utah Jazz
Cody Williams,1642262,Utah Jazz
Patty Mills,201988,Utah Jazz
Isaiah Collier,1642268,Utah Jazz
Drew Eubanks,1629234,Utah Jazz
Svi Mykhailiuk,1629004,Utah Jazz
John Collins,1628381,Utah Jazz
Kyle Filipowski,1642271,Utah Jazz
Lauri Markkanen,1628374,Utah Jazz
Walker Kessler,1631117,Utah Jazz
Micah Potter,1630695,Utah Jazz
Brice Sensabaugh,1641729,Utah Jazz
Johnny Juzang,1630548,Utah Jazz
Oscar Tshiebwe,1631131,Utah Jazz
Bilal Coulibaly,1641731,Washington Wizards
Tristan Vukcevic,1641774,Washington Wizards
Johnny Davis,1631098,Washington Wizards
Jared Butler,1630215,Washington Wizards
Patrick Baldwin Jr.,1631116,Washington Wizards
Carlton Carrington,1642267,Washington Wizards
Justin Champagnie,1630551,Washington Wizards
Jordan Poole,1629673,Washington Wizards
Saddiq Bey,1630180,Washington Wizards
Malcolm Brogdon,1627763,Washington Wizards
Anthony Gill,1630264,Washington Wizards
Jonas Valančiūnas,202685,Washington Wizards
Kyshawn George,1642273,Washington Wizards
Alexandre Sarr,1642259,Washington Wizards
Richaun Holmes,1626158,Washington Wizards
Corey Kispert,1630557,Washington Wizards
Kyle Kuzma,1628398,Washington Wizards
Marvin Bagley III,1628963,Washington Wizards
